Year,Month,Day,Rainfall,Temp
2013,7,1,0,23
2013,7,2,0,22.1
2013,7,3,3.2,17.2
2013,7,4,2,16.8
2013,7,5,0,17.4
2013,7,6,0,17.3
2013,7,7,0,16.8
2013,7,8,0,18.5
2013,7,9,0,19.4
2013,7,10,34.6,20.4
2013,7,11,0,15
2013,7,12,2.2,18.7
2013,7,13,0,20.6
2013,7,14,1.2,21
2013,7,15,0,21.4
2013,7,16,15,19.4
2013,7,17,12.6,14.6
2013,7,18,0,16.2
2013,7,19,0,17.1
2013,7,20,0,16.5
2013,7,21,0,16.3
2013,7,22,0,19.1
2013,7,23,0,22.7
2013,7,24,19.2,19.8
2013,7,25,3.8,20.4
2013,7,26,10.4,17.6
2013,7,27,17.6,18.8
2013,7,28,5.4,19.4
2013,7,29,1,18.8
2013,7,30,0.4,20.3
2013,7,31,11.4,20.5
2013,8,1,3.8,21
2013,8,2,0,21
2013,8,3,0,21.7
2013,8,4,0,22.8
2013,8,5,0.8,22.5
2013,8,6,11.2,22.1
2013,8,7,4.6,21.9
2013,8,8,45.4,17.7
2013,8,9,13.4,20.1
2013,8,10,0.8,19.8
2013,8,11,2.8,18.7
2013,8,12,0.4,20.5
2013,8,13,1,18.9
2013,8,14,3.4,19.7
2013,8,15,2,19.4
2013,8,16,16,16.9
2013,8,17,6.8,19
2013,8,18,1.8,19
2013,8,19,0.4,20.6
2013,8,20,0,19.6
2013,8,21,0,19.8
2013,8,22,0,22
2013,8,23,0,24.7
2013,8,24,0,26.4
2013,8,25,0,20.7
2013,8,26,9.4,18.5
2013,8,27,3.4,16.8
2013,8,28,27,19.4
2013,8,29,0.4,20
2013,8,30,5.2,20.2
2013,8,31,7.4,21.1
2013,9,1,0.2,22.4
2013,9,2,0,23.6
2013,9,3,0,21
2013,9,4,11.2,18.5
2013,9,5,0,20.4
2013,9,6,0,22.4
2013,9,7,4.2,19
2013,9,8,1.4,20.1
2013,9,9,0,22.4
2013,9,10,0,20.5
2013,9,11,19.4,18.5
2013,9,12,16.8,19.1
2013,9,13,0,20.3
2013,9,14,20,17
2013,9,15,11.2,17.7
2013,9,16,0.2,21.2
2013,9,17,11.8,17.7
2013,9,18,0.6,19.8
2013,9,19,3.4,20.6
2013,9,20,2.6,21.7
2013,9,21,2,21.6
2013,9,22,14,18.9
2013,9,23,10.2,21.1
2013,9,24,2.6,20.5
2013,9,25,1.6,19.6
2013,9,26,0,20.7
2013,9,27,3,20.3
2013,9,28,0,20.2
2013,9,29,0,20.8
2013,9,30,7.8,17.3
2013,10,1,0.2,18.8
2013,10,2,0,25.7
2013,10,3,0,28.2
2013,10,4,0,21.8
2013,10,5,2.4,22.9
2013,10,6,0.8,22.2
2013,10,7,0,22.7
2013,10,8,0,22.9
2013,10,9,12.4,20.2
2013,10,10,0.8,21.7
2013,10,11,0,20.9
2013,10,12,2.2,18.8
2013,10,13,0,21.9
2013,10,14,0,25.2
2013,10,15,0,22
2013,10,16,0.8,22.4
2013,10,17,0.2,22.1
2013,10,18,0,23
2013,10,19,0,19.3
2013,10,20,18.2,19.6
2013,10,21,0,20.7
2013,10,22,0,24.1
2013,10,23,0,27
2013,10,24,0,27.9
2013,10,25,0,23.7
2013,10,26,0,24.8
2013,10,27,0,28.5
2013,10,28,0,29
2013,10,29,0,30.6
2013,10,30,0,37.2
2013,10,31,0,25.6
2013,11,1,0,27
2013,11,2,0,29.8
2013,11,3,0,33.4
2013,11,4,0,32.6
2013,11,5,0,24.2
2013,11,6,0,24.4
2013,11,7,0,27.1
2013,11,8,0,29.2
2013,11,9,0,33.2
2013,11,10,0,37.2
2013,11,11,0,30.7
2013,11,12,0,27.7
2013,11,13,0,29.3
2013,11,14,0,32.6
2013,11,15,0,33.7
2013,11,16,0,37.1
2013,11,17,0,28.3
2013,11,18,0,25.2
2013,11,19,0,25.7
2013,11,20,0,28.3
2013,11,21,0,31.9
2013,11,22,0,31.1
2013,11,23,0,27
2013,11,24,0,24.9
2013,11,25,0,25.2
2013,11,26,0,29.3
2013,11,27,0,29.6
2013,11,28,0,30.2
2013,11,29,0,24.4
2013,11,30,10.2,23.2
2013,12,1,1.8,24.1
2013,12,2,0,23.6
2013,12,3,0,23.5
2013,12,4,0,28.2
2013,12,5,0,32
2013,12,6,0,32.4
2013,12,7,0,27.5
2013,12,8,0,25.1
2013,12,9,0,28.6
2013,12,10,0,32.1
2013,12,11,0,33.5
2013,12,12,0,36.1
2013,12,13,0,39
2013,12,14,0,40.4
2013,12,15,0,37.1
2013,12,16,0,37.1
2013,12,17,0,28.4
2013,12,18,0,27.8
2013,12,19,0,30.5
2013,12,20,0,28.2
2013,12,21,0,28.7
2013,12,22,0,29.9
2013,12,23,0,33.9
2013,12,24,0,29.4
2013,12,25,0,30.8
2013,12,26,0,28.2
2013,12,27,0,28.3
2013,12,28,0,32.2
2013,12,29,0,32.6
2013,12,30,0,31
2013,12,31,0,25.8
2014,1,1,0,26.1
2014,1,2,0,25.7
2014,1,3,0,26.5
2014,1,4,0,27.3
2014,1,5,0,31.8
2014,1,6,0,39.1
2014,1,7,0,26.9
2014,1,8,0,28.4
2014,1,9,0,30
2014,1,10,0,34.2
2014,1,11,0,43.3
2014,1,12,0,41
2014,1,13,0,27.8
2014,1,14,0,26.7
2014,1,15,0,25.6
2014,1,16,0.2,25.6
2014,1,17,0,31.6
2014,1,18,0,37.1
2014,1,19,0,38.7
2014,1,20,0,38.3
2014,1,21,0,38
2014,1,22,0,37.2
2014,1,23,0,36.2
2014,1,24,0,32.6
2014,1,25,0,36.7
2014,1,26,0,31
2014,1,27,0,26.4
